Date,Open,High,Low,Close,Volume
11/10/2002 16:00:00,18.1,18.74,18.1,18.46,9629200
14/10/2002 16:00:00,18.25,19.23,18.17,19.2,9863600
15/10/2002 16:00:00,19.75,20.14,18.65,18.94,14040300
16/10/2002 16:00:00,18.43,19.66,18.25,19.49,8746700
17/10/2002 16:00:00,19.99,20.22,18.43,18.74,14185100
18/10/2002 16:00:00,18.6,19.29,18.36,19.04,6595600
21/10/2002 16:00:00,18.93,19.53,18.73,19.26,6757700
22/10/2002 16:00:00,19.27,19.91,18.9,19.38,8645800
23/10/2002 16:00:00,19.39,19.82,19.37,19.75,6663000
24/10/2002 16:00:00,19.97,20.26,19.8,19.86,13131500
25/10/2002 16:00:00,18.6,19.36,18.49,19.3,15908200
28/10/2002 16:00:00,19.4,19.73,18.4,18.59,8801100
29/10/2002 16:00:00,18.58,18.92,18.07,18.57,7404800
30/10/2002 16:00:00,18.8,19.22,18.47,19.08,6894100
31/10/2002 16:00:00,19.07,19.48,18.85,19.36,6824100
01/11/2002 16:00:00,19.23,19.9,19.09,19.8,5550100
04/11/2002 16:00:00,19.4,19.81,18.59,18.78,12963500
05/11/2002 16:00:00,18.7,18.87,18.2,18.72,7951400
06/11/2002 16:00:00,18.75,19.39,18.26,19.34,7985900
07/11/2002 16:00:00,19,19.3,18.77,19.19,6421000
08/11/2002 16:00:00,19.19,19.67,18.81,19.51,7142300
11/11/2002 16:00:00,19.45,19.55,18.8,19,5772000
12/11/2002 16:00:00,19.77,19.99,19.01,19.82,10484785
13/11/2002 16:00:00,19.83,21,19.61,20.41,18339984
14/11/2002 16:00:00,20.95,21.49,20.95,21.21,13213969
15/11/2002 16:00:00,21.09,22.35,21.09,22.21,12327651
18/11/2002 16:00:00,22.2,23.74,22.15,22.42,25378566
19/11/2002 16:00:00,21.89,21.89,21.23,21.29,12307273
20/11/2002 16:00:00,21.22,23,21.22,22.9,13349146
21/11/2002 16:00:00,23.35,23.85,23.21,23.4,11305686
22/11/2002 16:00:00,23.19,24.28,23.1,23.99,11698373
25/11/2002 16:00:00,23.99,24.5,23.82,24.25,10108722
26/11/2002 16:00:00,24.21,24.21,23.38,23.4,6430408
27/11/2002 16:00:00,23.71,24.24,23.71,24.08,5675004
29/11/2002 16:00:00,24.2,24.38,23.33,23.35,2582445
02/12/2002 16:00:00,24,25,24,24.11,11214361
03/12/2002 16:00:00,23.98,23.98,23.38,23.74,5947427
04/12/2002 16:00:00,23.5,23.8,22.96,23.39,7956772
05/12/2002 16:00:00,23.63,23.68,22.2,22.58,10688607
06/12/2002 16:00:00,22,22.69,21.51,22.61,9410369
09/12/2002 16:00:00,22.35,22.35,21.6,21.68,7472319
10/12/2002 16:00:00,21.99,21.99,21.24,21.86,7117879
11/12/2002 16:00:00,21.86,22.38,21.62,22.13,6400023
12/12/2002 16:00:00,22.14,22.62,21.81,22.3,5997041
13/12/2002 16:00:00,22.05,22.35,21.87,22.18,3867892
16/12/2002 16:00:00,22.24,22.53,22.04,22.51,4975850
17/12/2002 16:00:00,22.5,22.56,22.32,22.46,3460016
18/12/2002 16:00:00,22.25,22.26,21.98,22.1,3997813
19/12/2002 16:00:00,21.9,22.2,21.53,21.69,5927097
20/12/2002 16:00:00,21.66,22.01,21.61,21.93,4945807
23/12/2002 16:00:00,21.8,22.47,21.78,22.24,4433916
24/12/2002 16:00:00,22.28,22.28,21.88,21.88,2351796
26/12/2002 16:00:00,21.6,21.6,20,20.3,14216177
27/12/2002 16:00:00,20.1,20.1,18.43,18.86,22007244
30/12/2002 16:00:00,18.74,19.4,18.74,19.25,8333891
31/12/2002 16:00:00,19.25,19.56,18.83,18.89,5558314
02/01/2003 16:00:00,18.92,19.68,18.55,19.57,6530146
03/01/2003 16:00:00,19.53,20.53,19.41,20.52,8790509
06/01/2003 16:00:00,20.5,21.17,20.3,20.7,7730326
07/01/2003 16:00:00,21.35,21.75,20.6,21.55,9619065
08/01/2003 16:00:00,21.58,21.6,20.82,21.02,7016938
09/01/2003 16:00:00,21.09,21.7,20.9,21.45,6204517
10/01/2003 16:00:00,21.46,21.67,20.81,21.32,7611613
13/01/2003 16:00:00,21.44,22.1,21.25,22.04,7135949
14/01/2003 16:00:00,22.35,22.76,21.66,22.74,7081972
15/01/2003 16:00:00,22.61,22.61,21.94,22.27,7046011
16/01/2003 16:00:00,21.5,22.1,21.45,21.8,7954025
17/01/2003 16:00:00,21.5,21.71,21.23,21.4,5822936
21/01/2003 16:00:00,21.4,21.61,20.36,21.08,6312447
22/01/2003 16:00:00,21,21.7,20.75,21.17,6698473
23/01/2003 16:00:00,21.31,22.04,21.15,21.79,11092658
24/01/2003 16:00:00,22.27,23.29,21.9,22.11,21761602
27/01/2003 16:00:00,21.8,22.37,21.64,21.78,8225357
28/01/2003 16:00:00,21.76,21.97,21.23,21.62,7990332
29/01/2003 16:00:00,21.4,22.35,21.4,22.08,7129812
30/01/2003 16:00:00,22.08,22.4,21.74,21.82,5992906
31/01/2003 16:00:00,21.74,22.27,21.56,21.85,6272650
03/02/2003 16:00:00,21.96,22.44,21.82,22.16,5213329
04/02/2003 16:00:00,21.86,22.14,21.57,22.05,4827996
